iter	RMSE
0	3.858470758
1	3.842127132
2	3.827068308
3	3.813374844
4	3.800721396
5	3.788124299
6	3.777175554
7	3.767475346
8	3.758225027
9	3.74989534
10	3.742350729
11	3.734851653
12	3.728404029
13	3.722088334
14	3.716347233
15	3.711232734
16	3.705362711
17	3.700951764
18	3.69636295
19	3.692479899
20	3.688413959
21	3.685098349
22	3.681522882
23	3.67829176
24	3.675370238
25	3.672814528
26	3.670378627
27	3.667989102
28	3.665492554
29	3.663314343
30	3.661384523
31	3.659311692
32	3.656967451
33	3.655152763
34	3.652057539
35	3.650403475
36	3.649069249
37	3.647608902
38	3.645730636
39	3.644439391
40	3.64321629
41	3.64161017
42	3.640406268
43	3.639286868
44	3.637588736
45	3.636503913
46	3.635535278
47	3.634211813
48	3.633364029
49	3.632281512
50	3.631385894
51	3.630562882
52	3.629795059
53	3.628688126
54	3.627629996
55	3.626747226
56	3.625879339
57	3.625295025
58	3.624651412
59	3.623608274
60	3.622690663
61	3.621571301
62	3.619972077
63	3.61902245
64	3.617626534
65	3.617079735
66	3.616213369
67	3.615472973
68	3.614664448
69	3.613441874
70	3.612962005
71	3.611793271
72	3.61133647
73	3.610881332
74	3.610289338
75	3.609519641
76	3.609104824
77	3.608554427
78	3.607918653
79	3.606898322
80	3.606309817
81	3.60591691
82	3.60535447
83	3.60498596
84	3.604694405
85	3.604053407
86	3.603592453
87	3.603110522
88	3.602620395
89	3.602244567
90	3.601889826
91	3.601335054
92	3.600991777
93	3.600177245
94	3.599693633
95	3.599236892
96	3.598786761
97	3.597927806
98	3.597633935
99	3.596959305
100	3.596709423
101	3.596317507
102	3.595829983
103	3.595572515
104	3.595225452
105	3.594761899
106	3.594137377
107	3.593245319
108	3.592567227
109	3.589921551
110	3.589017983
111	3.588559902
112	3.588198869
113	3.587874714
114	3.585493239
115	3.585331016
116	3.584569119
117	3.584162934
118	3.583949663
119	3.583507877
120	3.583195749
121	3.582792638
122	3.580666619
123	3.579992342
124	3.579375438
125	3.578961873
126	3.578663716
127	3.576636437
128	3.576444672
129	3.575964279
130	3.575402061
131	3.573556211
132	3.573183063
133	3.572839439
134	3.572561215
135	3.572377434
136	3.571940474
137	3.571534741
138	3.570992461
139	3.570578428
140	3.569976249
141	3.564859653
142	3.564525816
143	3.563922518
144	3.563734775
145	3.562744702
146	3.562224582
147	3.561995106
148	3.557328124
149	3.557099292
150	3.556559424
151	3.556115006
152	3.555752702
153	3.555245891
154	3.554474093
155	3.55434512
156	3.553833679
157	3.553693602
158	3.553436024
159	3.552973323
160	3.551328534
161	3.550884991
162	3.550547191
163	3.549747551
164	3.549334162
165	3.54886734
166	3.548638107
167	3.544654862
168	3.544286404
169	3.543988764
170	3.543822728
171	3.543627766
172	3.543207569
173	3.542970286
174	3.542664783
175	3.542335766
176	3.542185984
177	3.541977164
178	3.538247682
179	3.537803584
180	3.537665021
181	3.537491391
182	3.526069034
183	3.52567158
184	3.525511538
185	3.525143689
186	3.52456654
187	3.524178579
188	3.524075741
189	3.52386674
190	3.523313494
191	3.523201956
192	3.523081387
193	3.520628583
194	3.52019888
195	3.50981532
196	3.509522376
197	3.508930554
198	3.508256432
199	3.507676165
200	3.507530306
201	3.507200813
202	3.507052656
203	3.506648354
204	3.50632128
205	3.506087596
206	3.505590733
207	3.50551062
208	3.505336094
209	3.502506117
210	3.502329786
211	3.499347565
212	3.499111065
213	3.499013262
214	3.49878034
215	3.498520756
216	3.498197629
217	3.498038614
218	3.497346921
219	3.497007037
220	3.496715212
221	3.496449208
222	3.495754778
223	3.495477484
224	3.495340379
225	3.495054799
226	3.494915069
227	3.494410754
228	3.493840879
229	3.493527897
230	3.493317217
231	3.49306253
232	3.492817276
233	3.492678718
234	3.492556615
235	3.492321161
236	3.491631703
237	3.491509594
238	3.490328939
239	3.481189518
240	3.480532805
241	3.480381108
242	3.48012323
243	3.480010774
244	3.471786057
245	3.471684115
246	3.471543235
247	3.471014552
248	3.470589844
249	3.469937912
250	3.469427826
251	3.469336727
252	3.469092851
253	3.468651585
254	3.461189233
255	3.460846015
256	3.459835501
257	3.459687775
258	3.45909858
259	3.458634505
260	3.458118894
261	3.45698028
262	3.45659302
263	3.456157705
264	3.454144646
265	3.454020728
266	3.453766517
