iter	Passed	Remaining
0	24964	49904914
1	47436	47388770
2	64043	42631518
3	77463	38654325
4	94501	37705984
5	114968	38207885
6	134892	38405915
7	151299	37673500
8	166221	36771993
9	182879	36392978
10	200404	36236804
11	217666	36060127
12	236295	36116852
13	254105	36046652
14	271966	35990296
15	287598	35662173
16	303289	35377850
17	320820	35325856
18	340319	35482822
19	359818	35622025
20	379595	35772322
21	396088	35611970
22	413846	35572825
23	432455	35605525
24	460477	36377711
25	485180	36836399
26	513217	37502884
27	537993	37890092
28	561125	38137153
29	578260	37972454
30	597199	37931775
31	616148	37893144
32	634966	37847861
33	653692	37798788
34	674972	37894862
35	698932	38130652
36	718647	38127137
37	737492	38077922
38	758015	38114579
39	777365	38090894
40	799348	38193254
41	824642	38444039
42	844473	38433349
43	864523	38432002
44	884365	38420784
45	902331	38329491
46	919093	38191250
47	937737	38134652
48	959419	38200563
49	976289	38075281
50	1003068	38332964
51	1024521	38380162
52	1050326	38584622
53	1075112	38743859
54	1097766	38821012
55	1118913	38842292
56	1141526	38912047
57	1159626	38827495
58	1185481	39000336
59	1209349	39102312
60	1229898	39094655
61	1251974	39134311
62	1274629	39189801
63	1294858	39169468
64	1317302	39215096
65	1340195	39271783
66	1362776	39317132
67	1383184	39298720
68	1403742	39284449
69	1426596	39333308
70	1448559	39355933
71	1471830	39412350
72	1489374	39315408
73	1515845	39452957
74	1538180	39479967
75	1563429	39579457
76	1582417	39519343
77	1606528	39586509
78	1624605	39504638
79	1645100	39482402
80	1666954	39492412
81	1691214	39557914
82	1726073	39866056
83	1761090	40169633
84	1790811	40345935
85	1824297	40601222
86	1851052	40701867
87	1874655	40731154
88	1895355	40696913
89	1915697	40655350
90	1940408	40705934
91	1969754	40850988
92	1994080	40889371
93	2013869	40834410
94	2038645	40880212
95	2058119	40819375
96	2083798	40881121
97	2103570	40826439
98	2126678	40836531
99	2149386	40838343
100	2171001	40819126
101	2189105	40734537
102	2214993	40794590
103	2236110	40766007
104	2254210	40683124
105	2275013	40649775
106	2296476	40628310
107	2315502	40564179
108	2335786	40522681
109	2361583	40576302
110	2386385	40611554
111	2416179	40729887
112	2446262	40850412
113	2473725	40924962
114	2505085	41061625
115	2532483	41131021
116	2558266	41172782
117	2578812	41129871
118	2596667	41044801
119	2625818	41137826
120	2651188	41170107
121	2672217	41134627
122	2694476	41118153
123	2718176	41123379
124	2734741	41021121
125	2754839	40972769
126	2771800	40878595
127	2799619	40944438
128	2831582	41068917
129	2858879	41123888
130	2881070	41104740
131	2902913	41080620
132	2927255	41091628
133	2954103	41137000
134	2976211	41115810
135	2995797	41060042
136	3014245	40989342
137	3034642	40945681
138	3057855	40940064
139	3085565	40993940
140	3111851	41027885
141	3145441	41156555
142	3171750	41188401
143	3197568	41213102
144	3222985	41231981
145	3249798	41267984
146	3275321	41286872
147	3304138	41346378
148	3327048	41331324
149	3348945	41303662
150	3374070	41315608
151	3400478	41342655
152	3425567	41353094
153	3457016	41439306
154	3486836	41504602
155	3509324	41482012
156	3532995	41473314
157	3564009	41550033
158	3597851	41658147
159	3633811	41788828
160	3673194	41956549
161	3691278	41880059
162	3722560	41953023
163	3749810	41979584
164	3777276	42007889
165	3805076	42039218
166	3833178	42073147
167	3860656	42099534
168	3882105	42059972
169	3907521	42063323
170	3929067	42024941
171	3953563	42018107
172	3978300	42013614
173	4006308	42043212
174	4039072	42121753
175	4069578	42175631
176	4095273	42179003
177	4114395	42114772
178	4134360	42059612
179	4152156	41982919
180	4175463	41962254
181	4202296	41976782
182	4229094	41990518
183	4263195	42075885
184	4287000	42058947
185	4308742	42021821
186	4335664	42035075
187	4357923	42002968
188	4385473	42021651
189	4413904	42048250
190	4445552	42104735
191	4469350	42086384
192	4498457	42117678
193	4521931	42095922
194	4539362	42018197
195	4559579	41966744
196	4581992	41935696
197	4614120	41993155
198	4635245	41950134
199	4657944	41921498
200	4688214	41960681
201	4718047	41995297
202	4750360	42051219
203	4781414	42095198
204	4802332	42049687
205	4831470	42076012
206	4853300	42038493
207	4876105	42009528
208	4897155	41965578
209	4921942	41953701
210	4948213	41954279
211	4975392	41962269
212	4992503	41885462
213	5021102	41905092
214	5046468	41897420
215	5069124	41867215
216	5091038	41830978
217	5123151	41878242
218	5159445	41958777
219	5178191	41896274
220	5199075	41851377
221	5228435	41874583
222	5253480	41862936
223	5282164	41880022
224	5299299	41805584
225	5326977	41814414
226	5359883	41863761
227	5390901	41897711
228	5417407	41896196
229	5452154	41957881
230	5474673	41925095
231	5498755	41904312
232	5525178	41901247
233	5556164	41932422
234	5581469	41920398
235	5600229	41859339
236	5622025	41821224
237	5645070	41792493
238	5674601	41811602
239	5696353	41773260
240	5717088	41727631
241	5746381	41744373
242	5767155	41699142
243	5796835	41718213
244	5817271	41670656
245	5839718	41637669
246	5865002	41624892
247	5894949	41644963
248	5919667	41627864
249	5942183	41595285
250	5961257	41538803
251	5991417	41559515
252	6020138	41569888
253	6041569	41529841
254	6063525	41493537
255	6085456	41457171
256	6109014	41431954
257	6134124	41417225
258	6158978	41400704
259	6189743	41423664
260	6211882	41388752
261	6235837	41365972
262	6260921	41350650
263	6284195	41323345
264	6302681	41264723
265	6331492	41273715
266	6359574	41277690
267	6375845	41205093
268	6406973	41228514
269	6431926	41211976
270	6456088	41190318
271	6482793	41184803
272	6504996	41150654
273	6527587	41119033
274	6562826	41166818
275	6586934	41144474
276	6618636	41169349
277	6645366	41163023
278	6678763	41197678
279	6702494	41172468
280	6735069	41201369
281	6772139	41257219
282	6806341	41295012
283	6834194	41293936
284	6861577	41289842
285	6879563	41229272
286	6912998	41261207
287	6948206	41303228
288	6981567	41333778
289	7012290	41348333
290	7048367	41394020
291	7078312	41403282
292	7116500	41460296
293	7151794	41499869
294	7180822	41502719
295	7208324	41496570
296	7241483	41522714
297	7271908	41532847
298	7296021	41506795
299	7325297	41510020
300	7353226	41505418
301	7380441	41496655
302	7415632	41532437
303	7455426	41593429
304	7484835	41596054
305	7506077	41553253
306	7534772	41551690
307	7564697	41556714
308	7598134	41580732
309	7634275	41619113
310	7666792	41637339
311	7699979	41658862
312	7734275	41686016
313	7761295	41673708
314	7788691	41663319
315	7814633	41645071
316	7840458	41626155
317	7873601	41645902
318	7907192	41667682
319	7933433	41650524
320	7964906	41660680
321	7995391	41665423
322	8042345	41755456
323	8066676	41727623
324	8097214	41731798
325	8132572	41760512
326	8164978	41773729
327	8203071	41815658
328	8236785	41834860
329	8261405	41807716
330	8289179	41796497
331	8303455	41717360
332	8319940	41649670
333	8362967	41714684
334	8398225	41740435
335	8429901	41748085
336	8467748	41785952
337	8510566	41847813
338	8548879	41886986
339	8588759	41933355
340	8630865	41990047
341	8669675	42030180
342	8689550	41978384
343	8729832	42025005
344	8776892	42103644
345	8806000	42095734
346	8831728	42071603
347	8863984	42078454
348	8891143	42060969
349	8948313	42184907
350	8988179	42226517
351	9035776	42303864
352	9072932	42331785
353	9120745	42408891
354	9166331	42474972
355	9208144	42523005
356	9246633	42555234
357	9278662	42557439
358	9333655	42664423
359	9369138	42681628
360	9409960	42722785
361	9443360	42729899
362	9471929	42715008
363	9502988	42711232
364	9523653	42660747
365	9541775	42599074
366	9561324	42543985
367	9584307	42504318
368	9607066	42463752
369	9630434	42425967
370	9661685	42422870
371	9700602	42453175
372	9746422	42513215
373	9778783	42514177
374	9822721	42565128
375	9865083	42608766
376	9902464	42630505
377	9943206	42666352
378	9978723	42679449
379	10011756	42681700
380	10038050	42655127
381	10065671	42634178
382	10088193	42591668
383	10112327	42556045
384	10136036	42518698
385	10177905	42557354
386	10221354	42602182
387	10266692	42654404
388	10311247	42702876
389	10348244	42719674
390	10381588	42721164
391	10431833	42791806
392	10474278	42829939
393	10512372	42849924
394	10562385	42918048
395	10597492	42925198
396	10644133	42978707
397	10690664	43031269
398	10731488	43060432
399	10761049	43044199
400	10793949	43041209
401	10838811	43085625
402	10890866	43158099
403	10932154	43187422
404	10971293	43207934
405	11022879	43277020
406	11075209	43348426
407	11117191	43378846
408	11157827	43403674
409	11203238	43446704
410	11250691	43497198
411	11302183	43562784
412	11333211	43549169
413	11362891	43530304
414	11410797	43580996
415	11453577	43611697
416	11496810	43643767
417	11547685	43704399
418	11600770	43772836
419	11644012	43803665
420	11689222	43841525
421	11734481	43879173
422	11778901	43913305
423	11816872	43923090
424	11862501	43961036
425	11903607	43981873
426	11951854	44028730
427	12001818	44081447
428	12055643	44147823
429	12090993	44146183
430	12136714	44182147
431	12190195	44245896
432	12238316	44289705
433	12292290	44354207
434	12324172	44338688
435	12372544	44382246
436	12425425	44441509
437	12460432	44436520
438	12501180	44451804
439	12547708	44487330
440	12580836	44475110
441	12625125	44502140
442	12666321	44517975
443	12703598	44519818
444	12743352	44530143
445	12787580	44555828
446	12833630	44587535
447	12924222	44773200
448	13022325	44983580
449	13108406	45151179
450	13213035	45381356
451	13309638	45582567
452	13396078	45747755
453	13485795	45922995
454	13582816	46121871
455	13677380	46311129
456	13792637	46569014
457	13885327	46749290
458	13985080	46952088
459	14132850	47314325
460	14227294	47496324
461	14281195	47542161
462	14401111	47806713
463	14462984	47877464
464	14487270	47823571
465	14575199	47979305
466	14613045	47969592
467	14625750	47877455
468	14842870	48452952
469	14980254	48765508
470	15109662	49050264
471	15233403	49314916
472	15344743	49537893
473	15463665	49783869
474	15585795	50038605
475	15692670	50242919
476	15840842	50577783
477	15953007	50795976
478	15970032	50710687
479	15990377	50636196
480	16098316	50838548
481	16212738	51060034
482	16317672	51250328
483	16430542	51464262
484	16640142	51979002
485	16757299	52202782
486	16867970	52405010
487	16983670	52621536
488	17107619	52862194
489	17193768	52984878
490	17311116	53202595
491	17453726	53496380
492	17557612	53670024
493	17619474	53714429
494	17729669	53905359
495	17837125	54086767
496	17951767	54288745
